Framework;Jawa Timur;Jawa Tengah;Jawa Barat;DKI Jakarta;DI Jogjakarta;Banten;Tipe
reCAPTCHA (Captchas) ;;1;;;;;Captchas
WordPress (CMS) ;1;;;;;;Cms
Microsoft Word (Editors) ;;;;;;1;Editors
Cufon (Font script) ;;;;;;1;Font Script
Font Awesome (Font script) ;1;1;;1;1;;Font Script
Google Font API (Font script) ;1;1;;1;1;;Font Script
jQuery (JavaScript library) ;1;1;1;1;1;1;Javascript Library
jQuery Migrate (JavaScript library) ;1;;;;;;Javascript Library
jQuery UI (JavaScript library) ;;1;;;;;Javascript Library
Lightbox (JavaScript library) ;;;;;;1;Javascript Library
Modernizr (JavaScript library) ;1;;;;;;Javascript Library
prettyPhoto (JavaScript library) ;1;;;;;;Javascript Library
Select2 (JavaScript library) ;;1;;;;;Javascript Library
Slick (JavaScript library) ;1;;;;;;Javascript Library
Google Maps (Maps);;;;1;;;Maps
Twitter Emoji (Twemoji) (Miscellaneous) ;1;;;;;;Miscellaneous
Ubuntu (Operating system) ;;1;;;;1;Operating System
Perl (Programming language) ;;;1;;;;Programming Language
PHP (Programming language) ;;;1;;;;Programming Language
Python (Programming language) ;;;1;;;;Programming Language
Google Tag Manager (Tag Manager) ;;1;;;;;Tag Manager
animate.css (Web framework) ;;1;1;;1;;Web Framework
Bootstrap (Web framework) ;;1;1;1;1;;Web Framework
Apache (Web server) ;1;1;1;;1;1;Web Server
mod_fastcgi (Webserver extensions) ;;;1;;;;Webserver Extensions
mod_perl (Webserver extensions) ;;;1;;;;Webserver Extensions
mod_python (Webserver extensions) ;;;1;;;;Webserver Extensions
OpenSSL (Webserver extensions) ;;;1;;;;Webserver Extensions
OWL Carousel (Widget) ;;1;1;;1;;Widget
