;Provinsi;Kota/Kabupaten;Website;Framework;;;;;;;;;;;;;;;;;;;;;;;
1;Banten;Kabupaten Lebak;https://jdih.lebakkab.go.id/;Animate.css;Apache;Backbone.js;Bootstrap;DataTables;FancyBox;Font Awesome;Google Font API;JQuery;JQuery Migrate;MySQL;OWL Carousel;PHP;Prettyphoto;Revslider;TwitterEmoji;Vue.js;Wordpress;;;;;;
2;Banten;Kabupaten Pandeglang;http://jdih.pandeglangkab.go.id/;Apache;Bootstrap;CodeIgniter;DataTables;Facebook;JQuery;JQuery Migrate;Lightbox;Modernizr;PHP;Raphael;;;;;;;;;;;;;
3;Banten;Kabupaten Serang;http://jdih.serangkab.go.id/;Animate.css;Apache;Bootstrap;centOS;Font Awesome;JQuery;JQuery Migrate;PHP;Google Font API;OWL Carousel;;;;;;;;;;;;;;
4;Banten;Kabupaten Tangerang;http://jdih.tangerangkab.go.id/; Nginx;Bootstrap;Font Awesome;Google Font API;JQuery;MySQL;OWL Carousel;PHP;Select2;Ubuntu;UIkit;Wordpress;;;;;;;;;;;;
5;Banten;Kota Cilegon;http://jdih.cilegon.go.id/;Apache;Bootstrap;CKEditor;CodeIgniter;Datatables;Font Awesome;Handlebars;JQuery;Mod_perl;OpenSSL;Perl;PHP;UNIX;;;;;;;;;;;
6;Banten;Kota Serang;https://jdih.serangkota.go.id/;;Bootstrap;;;;Font Awesome;;JQuery;;;;PHP;; Nginx;Google Font API;;;;;;;;;
7;Banten;Kota Tangerang;https://jdih.tangerangkota.go.id/;Apache;Bootstrap;;;DataTables;;;JQuery;;;;;Modernizr;;;;;;;;;;;
8;Banten;Kota Tangerang Selatan;https://jdih.tangerangselatankota.go.id/;Apache;Bootstrap;;;;Font Awesome;;JQuery;;;Debian;;;;Google Font API;Animate.css;;;;;;;;
9;DKI Jakarta;Kabupaten Administrasi Kepulauan Seribu;https://jdih.jakarta.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;;;;;;;;;;;
10;DKI Jakarta;Kota Administrasi Jakarta Barat;https://jdih.jakarta.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;;;;;;;;;;;
11;DKI Jakarta;Kota Administrasi Jakarta Pusat;https://jdih.jakarta.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;;;;;;;;;;;
12;DKI Jakarta;Kota Administrasi Jakarta Selatan;https://jdih.jakarta.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;;;;;;;;;;;
13;DKI Jakarta;Kota Administrasi Jakarta Timur ;https://jdih.jakarta.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;;;;;;;;;;;
14;DKI Jakarta;Kota Administrasi Jakarta Utara;https://jdih.jakarta.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;;;;;;;;;;;
15;Jawa Barat;Kabutapen Bandung;http://jdih.bandungkab.go.id/;Apache;Bootstrap;Datatables;Facebook;Font Awesome;Google Font API;JQuery;Modernizr;;;;;;;;;;;;;;;;
16;Jawa Barat;Kabutapen Bandung Barat;http://jdih.bandungbaratkab.go.id/;;Bootstrap;DataTables;;Font Awesome;;JQuery;;Laravel;PHP;;;;;;;;;;;;;;
17;Jawa Barat;Kabutapen Bekasi;http://jdih.bekasikab.go.id/;Apache;;;Facebook;;;JQuery;Modernizr;;PHP;;;;;;;;;;;;;;
18;Jawa Barat;Kabutapen Bogor;http://jdih.bogorkab.go.id/;Apache;Bootstrap;;;;Google Font API;JQuery;;;PHP;OWL Carousel;re Captcha;;;;;;;;;;;;
19;Jawa Barat;Kabutapen Cianjur;http://jdih.cianjurkab.go.id/;;Bootstrap;DataTables;;Font Awesome;Google Font API;JQuery;;CodeIgniter;PHP;;;Animate.css;Nginx;;;;;;;;;;
20;Jawa Barat;Kabutapen Cirebon;http://jdih.cirebonkab.go.id/;;;;;;;JQuery;;;PHP;;;;;;;;;;;;;;
21;Jawa Barat;Kabutapen Garut;http://jdih.garutkab.go.id/;Apache;Bootstrap;;;Font Awesome;;JQuery;;CodeIgniter;PHP;;re Captcha;;;Chart.js;;;;;;;;;
22;Jawa Barat;Kabutapen Indramayu;http://jdih.indramayukab.go.id/;Apache;;;Facebook;Font Awesome;;JQuery;;;PHP;;;;;;Fancybox;;;;;;;;
23;Jawa Barat;Kabutapen Karawang;http://jdih.karawangkab.go.id/;Apache;Bootstrap;;;;;JQuery;;;PHP;;;;;Drupal;;;;;;;;;
